biome * ffffff ffffff ffffff
biome 6 e0ffae 6a7039 6a7039
biome 29 ffffff 939984 ffffff
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 45 2e535f 404840 405340
biome 46 0077ee 55ff81 66ffc5
biome 47 cc1188 6d4189 7c6d87
biome 48 e0ffae a686a6 a686a6
biome 56 ffffff 554114 e94e14
biome 58 ffffff 8e86a6 8e86a6
biome 59 ffffff ffff3f ffff3f
biome 60 6c2c2c 572e23 64260f
biome 68 f08000 ffffff ffffff
biome 134 e0ffae 6a7039 6a7039
biome 157 ffffff 939984 ffffff
biome 165 ffffff 90814d 9e814d
biome 166 ffffff 90814d 9e814d
biome 167 ffffff 90814d 9e814d
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7f765d
block 2 * ff638f1b
block 3 * ff865c3a
block 3 2 ff502a1e
block 4 * ff7a7158
block 5 * ff946639
block 5 1 ff724c37
block 5 2 ffd5ae71
block 5 3 ffa0722a
block 5 4 ffa54922
block 5 5 ff2c1e18
block 6 * cf35420c
block 6 0 8f64821d
block 6 1 6f3f5612
block 6 2 8f779a36
block 6 3 574c6721
block 6 4 8f716428
block 6 8 8f64821d
block 6 9 6f3f5612
block 6 10 8f779a36
block 6 11 574c6721
block 6 12 8f716428
block 7 * ff392a25
block 8 * a3409dba
block 9 * a3409dba
block 10 * ffc73b13
block 11 * ffc73b13
block 12 * ffd6b576
block 12 1 ffdc663d
block 13 * ff836d62
block 14 * ff8c7d4d
block 15 * ff8a7c5b
block 16 * ff676150
block 17 * ff744a2a
block 17 0 ff926539
block 17 1 ff5b3e31
block 17 2 ffd3b78f
block 17 3 ff895c29
block 17 5 ff47382e
block 17 6 ffe0d8c3
block 17 7 ff845831
block 17 9 ff47382e
block 17 10 ffe0d8c3
block 17 11 ff845831
block 17 13 ff47382e
block 17 14 ffe0d8c3
block 17 15 ff845831
block 18 * ff516d10
block 18 1 ff1e4006
block 18 2 ff284705
block 18 3 ff206812
block 18 5 ff506c10
block 18 7 ff206812
block 18 9 ff506c10
block 18 11 ff206812
block 18 13 ff506c10
block 18 15 ff206812
block 19 * ffbb9920
block 20 * 6f774c2c
block 21 * ff6c6a6b
block 22 * ff374794
block 23 * ff7c735b
block 23 1 ff776f58
block 23 9 ff776f58
block 24 * ffd2a96e
block 25 * ff754a2b
block 26 * ff8c3936
block 26 8 ffaf847a
